%Time(ms),Error2,Error1,FirstTouch(m)
32933,35251.04297,754738.625,0
32934,36251.17578,776313.5,0
32935,36615.75781,802731.3125,0
32936,36688.53516,827899.4375,0
32937,36811.30859,853118.5625,0
32938,36871.33984,878487.125,0
32939,37352.54688,901939.375,0
32940,37737.75391,928752.375,0
32941,37787.29297,954260.375,0
32942,37887.31641,979759.5625,0
32943,37913.54688,1005358.563,0
32944,38359.44141,1029042.75,0
32945,38797.89063,1056043.625,0
32946,38822.12109,1081696.625,0
37133,1551.895386,1343.379761,0
37134,2447.948731,1448.049805,0
37135,3211.181885,1620.130127,0
37136,3859.245361,1908.86853,0
37137,4618.59668,2151.978516,0
37138,5286.038086,2614.096436,0
37139,5423.445801,5401.003418,0
37140,6737.045898,7579.683594,0
37141,6793.390625,10415.46289,0
37142,7382.540527,12024.07422,0
37143,7913.249023,14084.49512,0
37144,8387.677734,16639.63281,0
37145,8807.228516,19730.42383,0
37146,9173.706055,23394.67578,0
37147,9675.521484,27480.86133,0
37148,10555.28906,29985.57617,0
37149,10923.8584,38578.78516,0
37150,12258.0752,40946.81641,0
37151,12285.93457,48635.69141,0
37152,13047.58984,55352.99609,0
37153,13822.24512,62768.64453,0
37154,14605.66113,70906.01563,0
37155,15796.31055,77512.60156,0
37156,16170.22461,88112.38281,0
37157,17181.99609,97913.47656,0
37158,18140.19141,108544.1484,0
37159,19034.82813,120021.2578,0
37160,20265.01367,130060.8516,0
37161,20615.375,144190.6875,0
37162,21515.00391,157632.1094,0
37163,22743.5293,169642.7188,0
37164,23498.51563,183446.3125,0
37165,23870.48242,199908.0469,0
37166,24660.74609,215796.1094,0
37167,25911.02148,230111.0469,0
37168,26264.94727,248499.2188,0
37169,27435.04297,264020.6875,0
37170,27694.68359,283606,0
37171,28760.07031,300321.5,0
37172,29438.72266,318704.7813,0
37173,29689.47852,339701.1563,0
37174,30737.01367,357814.4688,0
37175,31276.83984,377692.3438,0
37176,31377.70898,400142.75,0
37177,32388.95703,419568.5625,0
37178,32452.94531,442956.4688,0
37179,33744.39844,461199.4375,0
37180,33769.71875,484392.4063,0
37181,33787.76563,508650.25,0
37182,34713.17969,529834.375,0
37183,35116.77734,552713.75,0
37184,35190.44531,578026.75,0
37185,36341.22656,598197.8125,0
37186,36985.91406,625426.75,0
37187,37711.42578,648127.5625,0
37188,38348.96875,670348.4375,0
37189,39029.31641,698151.875,0
37190,40064.66406,719394.8125,0
37191,40386.15625,745499.0625,0
37192,40625.67188,770256.9375,0
37193,40813.24609,795195.3125,0
37194,40947.74219,820301.75,0
37195,41506.08203,843489.1875,0
37196,41805.98047,870058.25,0
37197,42028.59375,897276.5625,0
37198,43033.22266,919350.125,0
37199,43397.17188,946198.875,0
37200,43464.65234,971730.625,0
37201,43955.16016,995344.25,0
37202,44223.04297,1022164.625,0
37203,44376.73047,1047646.125,0
37204,44446.76563,1073204.875,0
41230,700.1516113,1930.733643,0
41231,2509.417481,5103.000977,0
41232,2597.812744,8372.289063,0
41233,3874.624756,9639.543945,0
41234,4550.637695,9965.992188,0
41235,5137.064941,10509.12402,0
41236,5642.769531,11318.79004,0
41237,6283.05127,12235.4209,0
41238,6851.657715,13519.14844,0
41239,7352.587402,15215.97949,0
41240,7788.450195,17371.24609,0
41241,8160.827148,20028.43555,0
41242,8649.070313,23050.5332,0
41243,9073.082031,26657.25,0
41244,9437.975586,30880.35742,0
41245,10169.19824,33533.61719,0
41246,10284.09766,40062.84766,0
41247,10841.18945,45630.37891,0
41248,11390.86328,51870.19531,0
41249,11942.83594,58797.18359,0
41250,12911.64258,64165.32031,0
41251,13148.15723,75744.99219,0
41252,14825.51855,80937.625,0
41253,15178.97559,91557.85938,0
41254,15998.61523,101551.0859,0
41255,16770.95508,112367.6172,0
41256,17890.36328,121732.7031,0
41257,18674.71094,132752.2188,0
41258,18679.61914,148732.4531,0
41259,20306.47461,158630.3906,0
41260,20551.67969,174046.6875,0
41261,21630.18945,186599.5156,0
41262,21973.67969,203089.7188,0
41263,23157.02148,216704.8281,0
41264,23462.33203,234387.0938,0
41265,24601.71875,249191.8594,0
41266,24850.44531,268057.0625,0
41267,26046.12891,283920.6563,0
41268,26328.00391,303842.0313,0
41269,27412.23633,320892.5,0
41270,27567.09961,341984.75,0
41271,28940.71094,357940.7813,0
41272,29197.65234,381037.7813,0
41273,30230.58008,399818.0938,0
41274,30316.27539,422591.8438,0
41275,31187.05078,442458.4688,0
41276,31537.49805,464064.7813,0
41277,31978.7793,485863.9063,0
41278,32398.41992,507959.4375,0
41279,32796.49219,530342.125,0
41280,33173.35547,553002.0625,0
41281,33266.48438,578109.1875,0
41282,34077.6875,600115,0
41283,34363.37891,623788,0
41284,34619.95313,647693.3125,0
41285,34843.29297,671823.5,0
41286,35028.89453,696171.125,0
41287,35289.79297,720610.9375,0
41288,35503.36719,745252.875,0
41289,35665.70313,770087.9375,0
41290,36245.73047,793010.1875,0
41291,36525.34375,819343,0
41292,36798.62109,844310.625,0
41293,37009.73047,869441.4375,0
41294,37156.82031,894722.9375,0
41295,37238.21875,920142.125,0
41296,37252.1875,945685.75,0
41297,37806.11719,969194.25,0
41298,38126.55469,996041.1875,0
41299,38230.54688,1021562.438,0
41300,38254.05469,1047174.125,0
41301,38315.59375,1072864.5,0
41302,38785.29688,1096528.5,0
44712,7.3520355,5735.212402,0
44713,1856.345459,8000.176758,0
44714,2821.164307,8977.548828,0
44715,3153.611572,9604.936523,0
44716,3378.95459,10431.64355,0
44717,3718.0896,11295.42578,0
44718,3979.131592,12444.19922,0
44719,4172.166992,13921.28125,0
44720,4305.447266,15768.94922,0
44721,4385.293457,18029.68164,0
44722,4616.910156,20543.29102,0
44723,4868.914063,25737.21484,0
44724,5816.519043,26019.2832,0
44725,6245.956543,31596.81836,0
44726,6274.896484,36335.28516,0
44727,6437.072754,41533.69922,0
44728,6563.199707,47391.17188,0
44729,7083.125488,51666.85938,0
44730,7813.171875,62156.74609,0
44731,8824.539063,66348.42188,0
44732,8911.482422,75737.84375,0
44733,9345.647461,84389.44531,0
44734,9789.663086,93771.30469,0
44735,10648.09668,101603.9219,0
44736,11031.56641,115780.4922,0
44737,12528.23438,123558.8594,0
44738,12647.40137,136880.8125,0
44739,13625.03027,147281.2031,0
44740,13712.71289,161800.6094,0
44741,14229.91504,175726.4844,0
44742,14790.02734,190383.9375,0
44743,15684.16797,203582.8281,0
44744,15689.13086,220897.25,0
44745,16531.48633,235292.2344,0
44746,16585.46484,253784.7031,0
44747,17100.8457,271502.8438,0
