%frameid,time(us),x(mm),y(mm),z(mm) 
933371,2123969288,-23.0507,-66.7498,255.446
933372,2123978523,-22.1336,-73.7694,255.342
933373,2123987778,-21.217,-80.7827,254.512
933374,2123996979,-20.7733,-87.2638,254.204
933375,2124006201,-20.2233,-93.658,254.21
933376,2124015497,-19.5499,-100.109,254.016
933377,2124024702,-18.8943,-106.474,253.771
933378,2124033917,-18.0201,-112.655,253.406
933379,2124061629,-16.6562,-128.268,254.047
933380,2124070802,-15.9717,-133.221,253.439
933381,2124080070,-15.3215,-138.801,252.27
933382,2124089317,-14.6266,-144.473,250.168
933383,2124098549,-13.8639,-150.769,248.651
933384,2124107847,-13.4739,-156.742,248.287
933385,2124117039,-13.2507,-161.737,246.382
933386,2124126278,-13.2505,-167.289,246.978
933387,2124135507,-13.5987,-172.327,246.767
933388,2124144652,-13.7281,-177.847,247.979
933389,2124153896,-13.8694,-183.38,248.527
933390,2124163183,-13.647,-188.521,248.958
933391,2124172406,-13.1225,-192.929,248.778
933392,2124181599,-12.7733,-196.807,248.065
933393,2124190879,-12.9214,-199.015,245.958
933394,2124200047,-12.912,-200.317,244.795
933395,2124209320,-12.7168,-203.479,245.002
933396,2124218552,-12.3501,-206.67,244.651
933397,2124227717,-12.32,-208.375,244.558
933398,2124237034,-12.1847,-209.399,243.727
933399,2124246221,-11.9993,-210.462,243.486
933400,2124255452,-11.9977,-211.064,243.44
933401,2124264637,-11.9467,-211.405,243.133
933402,2124273923,-12.0579,-211.091,242.848
933403,2124283229,-12.1365,-210.319,243.053
933404,2124292336,-12.0509,-209.153,243.116
933405,2124301603,-11.9641,-206.214,242.997
933406,2124310831,-12.1337,-202.531,243.435
933407,2124320300,-12.014,-198.312,243.755
933408,2124329244,-11.883,-194.407,243.711
933409,2124338506,-11.6427,-190.631,244.335
933410,2124347758,-11.7875,-186.48,245.344
933411,2124357016,-11.7061,-180.908,244.868
933412,2124366236,-11.0822,-176.977,245.653
933413,2124375401,-11.2465,-170.733,246.045
933414,2124384653,-10.9798,-166.138,248.065
933415,2124393915,-10.8996,-160.21,250.024
933416,2124403109,-11.06,-155.21,251.23
933417,2124412271,-11.1922,-150.117,252.44
933418,2124421574,-11.425,-143.525,252.616
933419,2124430834,-11.3773,-138.185,254.772
933420,2124440075,-11.8895,-132.503,256.815
933421,2124449309,-12.7039,-126.019,258.489
933422,2124458499,-13.2667,-120.065,259.457
933423,2124467713,-13.7039,-114.096,260.26
933424,2124476970,-14.1474,-108.043,261.396
933425,2124486145,-14.5474,-101.447,262.408
933426,2124495363,-15.0976,-94.9526,263.113
933427,2124504638,-15.6885,-88.2438,263.904
933428,2124513919,-16.1009,-82.0637,264.634
933429,2124523151,-16.5326,-75.577,265.162
933430,2124532341,-17.0738,-68.9181,265.449
933431,2124541574,-17.7414,-62.249,265.832
933432,2124550821,-18.1269,-55.8631,266.066
933433,2124560054,-18.4915,-49.0475,265.967
933434,2124569276,-19.0061,-42.5262,265.948
933435,2124578491,-19.4773,-35.9001,265.673
933436,2124587730,-19.8653,-29.3175,265.31
933437,2124596914,-20.0727,-23.0092,264.62
933438,2124606202,-20.288,-16.3063,264.173
933439,2124615447,-20.3322,-10.1064,263.565
933440,2124624657,-20.3885,-3.97286,262.905
933441,2124633867,-20.3917,2.05596,262.211
933442,2124643107,-20.3622,8.18769,261.433
933443,2124652361,-20.153,13.983,260.336
933444,2124661560,-19.8976,19.9437,259.429
933445,2124670771,-19.507,25.3758,258.426
933446,2124680034,-19.0593,31.1793,257.292
933447,2124689254,-18.6454,36.9154,256.234
933448,2124698451,-18.0362,42.2505,255.154
933449,2124707716,-17.1748,47.111,254.08
933450,2124716973,-16.1694,51.5979,252.775
933451,2124726131,-14.9488,55.7206,251.64
933452,2124735396,-13.9371,59.068,250.208
933453,2124744592,-12.7973,62.477,249.522
933454,2124753892,-11.7541,65.5088,248.795
933455,2124763101,-10.8181,67.6267,248.154
933456,2124772243,-10.121,69.183,247.696
933457,2124781576,-9.31022,70.6212,247.75
933458,2124790786,-8.85038,71.3164,247.609
933459,2124800059,-8.56485,71.5868,247.553
933460,2124809220,-8.40332,71.4128,247.69
933461,2124818412,-8.1297,70.5266,248.129
933462,2124827668,-8.01419,69.2376,248.728
933463,2124836921,-8.20995,67.4209,249.431
933464,2124846177,-8.58773,64.3562,250.373
933465,2124855402,-9.20864,60.4864,251.428
933466,2124864529,-9.95586,57.0667,252.33
933467,2124873828,-10.8381,52.9658,253.195
933468,2124883091,-11.8503,48.3764,253.945
933469,2124892306,-12.8224,43.3636,254.681
933470,2124901491,-13.8304,37.9494,255.578
933471,2124910778,-14.9308,32.2367,256.529
933472,2124919954,-16.0666,25.8503,257.335
933473,2124929160,-17.0992,19.594,258.041
933474,2124938404,-18.0946,12.8431,258.826
933475,2124947660,-18.9804,6.27062,259.847
933476,2124956917,-19.9782,-1.29282,260.44
933477,2124966152,-20.6705,-8.54126,261.261
933478,2124975334,-21.2452,-16.3496,261.515
933479,2124984638,-21.6019,-23.9907,262.363
933480,2124993847,-21.8734,-31.8313,262.353
933481,2125003050,-22.1283,-39.2531,262.773
933482,2125012214,-22.3123,-47.2961,262.87
933483,2125021528,-22.1998,-54.9706,263.154
933484,2125030747,-22.005,-62.3086,263.332
933485,2125039982,-21.7412,-69.599,263.514
933486,2125049175,-21.1392,-77.0181,262.542
933487,2125058448,-20.3692,-84.6691,261.494
933488,2125067660,-19.9067,-91.9327,260.984
933489,2125076957,-19.2856,-99.3023,260.648
933490,2125086070,-18.176,-107.005,260.188
933491,2125095298,-17.2286,-114.228,258.895
933492,2125104561,-16.3767,-120.692,258.34
933493,2125113791,-15.1946,-126.362,255.001
933494,2125123065,-14.2172,-133.359,254.593
933495,2125132233,-13.3783,-140.018,254.084
933496,2125141541,-12.6683,-146.486,252.889
933497,2125150735,-11.952,-152.252,251.862
933498,2125159973,-11.1383,-157.178,250.158
933499,2125169207,-10.5721,-162.749,249.501
933500,2125178394,-9.96028,-167.672,247.517
933501,2125187677,-10.0367,-173.552,247.445
933502,2125196924,-9.80491,-178.868,246.77
933503,2125206161,-9.04019,-184.369,246.892
933504,2125233800,-9.04006,-197.447,243.845
933505,2125242962,-8.40987,-200.654,243.383
933506,2125252260,-8.0207,-203.985,243.609
933507,2125261492,-6.92454,-208.373,241.353
933508,2125270681,-6.46204,-211.442,240.394
933509,2125279945,-5.827,-214.252,239.704
933510,2125289181,-5.44675,-215.462,238.943
933511,2125298386,-5.27854,-215.998,238.606
933512,2125307640,-4.58316,-215.213,236.639
933513,2125316836,-4.01246,-214.308,235.291
933514,2125326099,-3.74251,-212.688,234.245
933515,2125335338,-3.63601,-212.205,234.325
933516,2125344562,-3.57033,-211.821,234.57
933517,2125353804,-3.75918,-210.798,234.692
933518,2125363032,-3.8729,-208.847,235.72
933519,2125372264,-3.94115,-207.129,236.607
933520,2125381425,-4.57524,-203.423,237.829
933521,2125390740,-4.63848,-199.348,238.538
933522,2125399975,-4.61345,-195.137,239.434
933523,2125409156,-4.5394,-190.415,239.952
933524,2125418455,-4.9552,-184.887,239.637
933525,2125427647,-5.37463,-179.492,239.839
933526,2125436841,-5.97209,-173.508,240.439
933527,2125446176,-6.4767,-167.422,241.028
933528,2125455273,-7.09101,-161.477,241.952
933529,2125464505,-7.57091,-154.723,243.736
933530,2125473761,-8.19105,-148.33,245.295
933531,2125483015,-8.6762,-141.947,246.263
933532,2125492270,-8.97829,-135.544,247.268
933533,2125501421,-9.64989,-129.305,249.019
933534,2125510628,-10.4248,-123.186,250.595
933535,2125519938,-11.5053,-116.115,251.8
933536,2125529100,-12.3588,-109.554,253.069
933537,2125538415,-12.8153,-103.07,254.326
933538,2125547528,-13.2684,-96.6524,255.204
933539,2125556832,-13.87,-89.5248,256.258
933540,2125566025,-14.626,-82.3532,257.068
933541,2125575287,-14.9626,-75.8699,258.407
933542,2125584560,-15.4718,-69.6497,259.327
933543,2125593770,-16.2143,-62.9529,260.061
933544,2125603073,-16.991,-55.7666,260.731
933545,2125612131,-17.4858,-48.9758,261.169
933546,2125621447,-18.0699,-41.5913,261.575
933547,2125630631,-18.5471,-34.5435,262.133
933548,2125639912,-18.9162,-27.781,262.495
